group,счастье,радость,восторг
1,3,10,3
2,5,5,1
3,11,10,2
4,7,9,5
5,6,12,4
6,22,20,8
7,4,7,4
8,10,13,2
9,7,11,2
10,4,12,1
11,5,12,8
12,3,8,1
13,2,4,1
14,1,4,2
15,13,23,0
16,4,16,5
17,0,0,0
